mericarp_num,ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,width,depth,spine_length,tip_distance,spine_num,lower_spines
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.27,2.86,4.88,3.67,7.53,2,0
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.76,3.81,5.19,1.92,4.86,2,0
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.45,4.14,4.84,1.64,4.01,2,0
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,6.62,2.83,4.33,3.95,10.08,4,1
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,5.64,2.21,3.63,3.41,6.49,4,1
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,5.23,3.42,4.51,0,0,4,1
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,4.9,2.76,4.43,0,0,4,1
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,4.67,2.76,4.48,0,0,4,1
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,5.18,2.99,4.26,0,0,4,1
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,3.79,2.38,2.7,0,0,4,1
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,Volcan Sierra Negra,28,5.81,2.49,4.36,3.24,6.89,4,1
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,Volcan Sierra Negra,28,5.81,2.3,4.32,4.04,6.52,4,1
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,Volcan Sierra Negra,28,5.52,2.24,4.23,3.77,6.72,4,1
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,Volcan Sierra Negra,28,4.32,1.83,3.35,1.66,3.69,4,1
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,Volcan Sierra Negra,28,4.33,1.53,3.07,1.92,2.81,4,1
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.15,3.24,4.95,2.87,6.74,4,1
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.75,3.74,5.4,2.74,6.71,4,1
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,7.32,4.61,6.08,1.91,7.03,4,1
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.46,3.03,4.82,2.87,4.54,4,1
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.09,3.18,5.02,2.19,5.96,4,1
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,4.88,2.97,4.67,0,0,4,1
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.46,3.25,4.87,3.54,6.98,4,1
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,8.14,4.05,5.74,1.95,5.95,4,1
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.78,3.81,5.43,2.41,6.7,4,1
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.67,3.8,5.54,3.34,7.17,4,1
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.45,3.87,5.27,2.99,6.46,4,1
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,7.21,3.38,5.49,6.7,3.66,4,1
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.56,3.39,5.17,1.89,3.5,4,1
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.98,3.9,5.57,2.41,5.74,4,1
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,7.13,2.97,5.8,3.74,8.49,2,0
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,7.03,3.1,5.54,3.22,8.44,2,0
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,4.34,2.05,3.78,0,0,2,0
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.59,2.87,4.01,0,0,2,0
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.89,3.25,5.24,3.51,7.43,2,0
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.58,2.83,3.87,1.57,3.99,2,0
115,CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,8.29,3.62,4.89,4.05,12.23,2,0
116,CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,8.48,3.58,4.85,4.44,10.18,2,0
117,CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,8.21,3.77,4.86,4.21,7.68,2,0
118,CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,6.84,2.73,4.26,3.31,6.35,2,0
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.36,2.93,4.94,5.67,11.27,2,0
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.1,3.26,5.48,5.78,11.53,2,0
