ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,tip_distance,tip_distance_log,tip_distance_sqr
179,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,14.28,2.7265447837383743,3.778888725538237
180,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,13.42,2.668616131856803,3.6633318168028404
181,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,3,11.46,2.522523513359307,3.3852621759621515
182,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,4,15.19,2.7843937676895436,3.8974350539810154
183,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,5,9.57,2.3580197998821464,3.093541659651604
184,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,6,13.1,2.6461747973841225,3.6193922141707713
185,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,7,11.1,2.4932054526026954,3.331666249791536
186,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,8,9.93,2.391511302188447,3.151190251317746
187,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,9,11.42,2.519308076505333,3.37934904974316
188,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,10,10.92,2.4782176616372036,3.304542328371661
189,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,11,11.61,2.534490149976828,3.407345007480164
190,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,12,0,0,0
191,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,13,14.6,2.747270914255491,3.82099463490856
192,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,14,0,0,0
193,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,15,10.73,2.462149662665384,3.27566787083184
194,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,16,10.76,2.464703942470481,3.280243893371345
195,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,17,12,2.5649493574615367,3.4641016151377544
196,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,18,14.24,2.7239235502585,3.7735924528226414
197,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,19,11.21,2.502255288122613,3.3481338085566414
198,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,20,11.95,2.5610957881455465,3.456877203488721
199,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,21,9.76,2.3758355547336385,3.1240998703626617
200,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,22,9.95,2.3933394562625097,3.1543620591175006
201,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,23,10.22,2.4176979000945504,3.1968734726291563
202,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,24,11.63,2.5360749363624,3.410278580995987
203,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,25,14.3,2.72785282839839,3.7815340802378077
204,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,26,11.06,2.4898941912990393,3.3256578296631782
205,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,27,9.82,2.3813962734183356,3.1336879231984796
206,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,28,11.53,2.528125768907977,3.395585369269929
207,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,29,6.24,1.979621206397625,2.4979991993593593
208,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,30,9.04,2.306577114263583,3.0066592756745814
209,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,13.66,2.6851226964585053,3.6959437225152656
210,CDRS_57139,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,9.91,2.3896797998449792,3.1480152477394387
