ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,depth,depth_log,depth_sqr
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,5.81,1.7595805708638197,2.41039415863879
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,5.01,1.6114359150967734,2.238302928559939
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,5.86,1.7681496035889213,2.420743687382041
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,3.68,1.3029127521808397,1.9183326093250879
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,4.01,1.3887912413184778,2.0024984394500787
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,4.92,1.5933085305042167,2.2181073012818833
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,4.77,1.5623463049002497,2.1840329667841556
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,4.58,1.5216989981260935,2.1400934559032696
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,5.74,1.747459210331475,2.3958297101421877
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,5.18,1.6448050562713916,2.2759613353482084
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,5.28,1.6639260977181702,2.2978250586152114
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,4.97,1.6034198401085373,2.2293496809607953
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.06,1.6213664832993742,2.2494443758403984
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,4.86,1.5810384379124025,2.2045407685048604
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,6.05,1.80005827204275,2.4596747752497685
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,4.12,1.415853163361435,2.029778313018444
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,4.2,1.4350845252893227,2.04939015319192
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,5.12,1.6331544390514163,2.262741699796952
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,4.12,1.415853163361435,2.029778313018444
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,5.17,1.6428726885203377,2.2737634001804143
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,3.41,1.2267122912954254,1.8466185312619388
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,4.43,1.4883995840570443,2.1047565179849186
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,5.77,1.7526720805200082,2.4020824298928627
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,6.67,1.8976198599275322,2.582634314028992
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,5.34,1.6752256529721035,2.3108440016582685
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,6.12,1.8115620965242347,2.4738633753705965
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,6,1.791759469228055,2.449489742783178
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,5.4,1.6863989535702288,2.32379000772445
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,4.51,1.506297153514587,2.12367605815953
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,4.88,1.5851452198650557,2.209072203437452
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,5.22,1.6524974018945473,2.2847319317591723
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,5.04,1.6174060820832772,2.244994432064365
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,4.67,1.541159071680806,2.1610182784974308
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,5.18,1.6448050562713916,2.2759613353482084
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,3.14,1.144222799920162,1.772004514666935
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,5.94,1.7817091333745536,2.4372115213907883
166,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,31,5.1,1.62924053973028,2.258317958127243
167,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,32,5.26,1.6601310267496185,2.293468988235943
168,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,33,5.59,1.7209792871670078,2.364318083507378
169,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,34,4.63,1.5325568680981427,2.151743479135001
170,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,35,5.22,1.6524974018945473,2.2847319317591723
171,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,36,4.56,1.5173226235262947,2.1354156504062622
172,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,37,4.89,1.5871923034867805,2.211334438749598
173,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,38,5.03,1.6154199841116479,2.2427661492005804
174,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,39,5.87,1.7698546338400052,2.4228082879171433
175,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,40,5.43,1.691939133945844,2.3302360395462087
176,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,41,4.71,1.5496879080283263,2.1702534414210706
177,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,42,4.32,1.463255402256019,2.078460969082653
178,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,43,5.26,1.6601310267496185,2.293468988235943
179,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,1,7.2,1.9740810260220096,2.6832815729997477
180,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,2,7.1,1.9600947840472698,2.6645825188948455
181,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,3,6.4,1.8562979903656263,2.5298221281347035
182,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,4,6.03,1.7967470107390942,2.455605831561735
183,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,5,4.95,1.599387576580599,2.224859546128699
184,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,6,5.14,1.6370530794670737,2.2671568097509267
185,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,7,5.64,1.7298840655099674,2.3748684174075834
186,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,8,4.54,1.5129270120532565,2.130727575266252
187,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,9,6.53,1.8764069432883397,2.5553864678361276
188,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,10,5.47,1.6992786164338898,2.3388031127052997
189,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,11,5.07,1.623340817603092,2.2516660498395407
190,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,12,4.74,1.556037135706985,2.177154105707724
191,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,13,6.26,1.8341801851120072,2.5019992006393608
192,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,14,3.82,1.3402504226184837,1.9544820285692064
193,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,15,5.29,1.665818245870208,2.3
194,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,16,5.83,1.763017000362401,2.414539293529927
195,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,17,6.51,1.873339456220478,2.5514701644346145
196,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,18,6.27,1.8357763546448294,2.5039968051097827
197,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,19,5.46,1.6974487897568136,2.3366642891095846
198,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,20,4.88,1.5851452198650557,2.209072203437452
199,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,21,4.23,1.4422019930581866,2.0566963801203135
