ind_num,ID,Herb_name,Herb_number,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,spine_length,tip_distance,spine_num,upper_spines,lower_spines,country,location,notes,latitude,longitude,Location notes,Temp,Temp_S,Prec,varP
104,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,6.67,3.8,5.54,3.34,7.17,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
105,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,6.45,3.87,5.27,2.99,6.46,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
106,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,7.21,3.38,5.49,6.7,3.66,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
107,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,5.56,3.39,5.17,1.89,3.5,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
108,CDRS_43184,CDRS,43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,6.98,3.9,5.57,2.41,5.74,4,1,1,Ecuador,Baltra Airport,NA,-0.446694,-90.268777,,24.31666756,154.6599579,163,104.3817749
109,CDRS_43798,CDRS,43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,7.13,2.97,5.8,3.74,8.49,2,1,0,Ecuador,North,NA,-1.231625,-90.362737,,23.74770927,174.5269775,377.46521,64.77494812
110,CDRS_43798,CDRS,43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,7.03,3.1,5.54,3.22,8.44,2,1,0,Ecuador,North,NA,-1.231625,-90.362737,,23.74770927,174.5269775,377.46521,64.77494812
111,CDRS_43798,CDRS,43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,4.34,2.05,3.78,0,0,2,0,0,Ecuador,North,NA,-1.231625,-90.362737,,23.74770927,174.5269775,377.46521,64.77494812
112,CDRS_43798,CDRS,43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,5.59,2.87,4.01,0,0,2,0,0,Ecuador,North,NA,-1.231625,-90.362737,,23.74770927,174.5269775,377.46521,64.77494812
113,CDRS_43798,CDRS,43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,5.89,3.25,5.24,3.51,7.43,2,1,0,Ecuador,North,NA,-1.231625,-90.362737,,23.74770927,174.5269775,377.46521,64.77494812
