ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,tip_distance,spine_num,lower_spines,country,location,notes
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,6.84,2.73,4.26,6.35,2,0,Ecuador,Academy Bay,NA
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.36,2.93,4.94,11.27,2,0,Ecuador,Punta Suarez,NA
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,6.1,3.26,5.48,11.53,2,0,Ecuador,Punta Suarez,NA
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,6.78,6.61,5.82,12.22,2,0,Ecuador,Punta Suarez,NA
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,6.29,3.37,6.14,14.49,2,0,Ecuador,Punta Suarez,NA
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,4.93,2.54,4.18,7.21,2,0,Ecuador,Punta Suarez,NA
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,6.09,3.59,4.86,9.77,2,0,Ecuador,Punta Suarez,NA
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,5.63,2.98,5.04,8.19,2,0,Ecuador,Punta Suarez,NA
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.75,2.85,3.93,7.71,2,0,Ecuador,Punta Suarez,NA
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.48,2.92,4.57,8.89,2,0,Ecuador,Punta Suarez,NA
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,6.09,2.83,5.05,10.32,2,0,Ecuador,Punta Suarez,NA
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,5.44,2.26,4.7,10.05,2,0,Ecuador,Punta Suarez,NA
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,6.56,3.49,5.81,13.73,2,0,Ecuador,Punta Suarez,NA
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,6.7,3.12,5.01,9.7,2,0,Ecuador,Punta Suarez,NA
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,6.87,3.81,5.86,9.99,2,0,Ecuador,Punta Suarez,NA
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,3.95,2.43,3.68,8.9,2,0,Ecuador,Punta Suarez,NA
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,4.51,2.62,4.01,10.91,2,0,Ecuador,Punta Suarez,NA
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.23,2.4,4.92,9.3,2,0,Ecuador,Punta Suarez,NA
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,4.98,2.63,4.77,7.24,2,0,Ecuador,Punta Suarez,NA
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,4.98,2.53,4.58,8.12,2,0,Ecuador,Punta Suarez,NA
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,5.75,3.22,5.74,10.91,2,0,Ecuador,Punta Suarez,NA
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,5.54,2.85,5.18,9.98,2,0,Ecuador,Punta Suarez,NA
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,5.12,2.61,5.28,8.08,2,0,Ecuador,Punta Suarez,NA
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,5.75,2.4,4.97,8.51,2,0,Ecuador,Punta Suarez,NA
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.98,2.79,5.06,9.73,2,0,Ecuador,Punta Suarez,NA
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.94,2.57,4.86,6.73,2,0,Ecuador,Punta Suarez,NA
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,5.94,3.34,6.05,11.03,2,0,Ecuador,Punta Suarez,NA
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,5.62,2.91,4.12,9,2,0,Ecuador,Punta Suarez,NA
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,4.39,2.44,4.2,11.45,2,0,Ecuador,Punta Suarez,NA
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,6.02,2.76,5.12,9.27,2,0,Ecuador,Punta Suarez,NA
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,5.58,2.54,4.12,8.24,2,0,Ecuador,Punta Suarez,NA
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,6,2.89,5.17,12.56,2,0,Ecuador,Punta Suarez,NA
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,6.35,3.42,3.41,8.1,2,0,Ecuador,Punta Suarez,NA
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,5.34,2.78,4.43,9.35,2,0,Ecuador,Punta Suarez,NA
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,7.83,4.09,5.77,10.57,2,0,Ecuador,Punta Suarez,NA
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,6.39,3.43,6.67,10.91,2,0,Ecuador,Punta Suarez,NA
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,7.26,3.87,5.34,11.2,2,0,Ecuador,Punta Suarez,NA
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,6.09,3.89,6.12,8.66,2,0,Ecuador,Punta Suarez,NA
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,8.13,3.89,6,12.16,2,0,Ecuador,Punta Suarez,NA
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,6.28,3.19,5.4,11.19,2,0,Ecuador,Punta Suarez,NA
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,7.15,3.53,4.51,8.76,2,0,Ecuador,Punta Suarez,NA
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,6.23,2.78,4.88,10.7,2,0,Ecuador,Punta Suarez,NA
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,6.93,3.08,5.22,9.85,2,0,Ecuador,Punta Suarez,NA
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,7.23,2.79,5.04,9.95,2,0,Ecuador,Punta Suarez,NA
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,5.32,3.73,4.67,7.65,2,0,Ecuador,Punta Suarez,NA
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,6.41,3.12,5.18,7.83,2,0,Ecuador,Punta Suarez,NA
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,5.89,3.04,3.14,8.43,2,0,Ecuador,Punta Suarez,NA
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,7.28,4.21,5.94,10.7,2,0,Ecuador,Punta Suarez,NA
