ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,length_log,length_sqr
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,5.52,1.7083778602890038,2.349468024894146
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,4.32,1.463255402256019,2.078460969082653
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,4.33,1.4655675420143985,2.080865204668481
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.15,1.8164520818184267,2.479919353527449
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.75,1.9095425048844386,2.598076211353316
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,7.32,1.9906103279732201,2.705549851693737
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.46,1.6974487897568136,2.3366642891095846
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.09,1.8066480817218056,2.467792535850613
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,4.88,1.5851452198650557,2.209072203437452
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.46,1.6974487897568136,2.3366642891095846
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,8.14,2.096790180014449,2.8530685235374214
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.78,1.9139771019523042,2.6038433132583076
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.67,1.8976198599275322,2.582634314028992
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.45,1.864080130807681,2.539685019840059
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,7.21,1.9754689512968577,2.6851443164195103
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.56,1.715598108262491,2.3579652245103193
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.98,1.9430489167742813,2.6419689627245813
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,7.13,1.9643112344262046,2.670205984563738
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,7.03,1.9501867058225735,2.6514147167125706
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,4.34,1.4678743481123135,2.083266665599966
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.59,1.7209792871670078,2.364318083507378
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.89,1.7732559976634952,2.4269322199023193
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,5.58,1.7191887763932197,2.3622023622035435
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,8.29,2.1150499691472033,2.8792360097775935
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,8.48,2.1377104498038118,2.9120439557122073
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,8.21,2.105352923464337,2.8653097563788807
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,6.84,1.922787731634459,2.615339366124404
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.36,1.6789639750827108,2.3151673805580453
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.1,1.8082887711792655,2.4698178070456938
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.78,1.9139771019523042,2.6038433132583076
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.29,1.8389610707123492,2.5079872407968904
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.93,1.5953389880545987,2.2203603311174516
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.09,1.8066480817218056,2.467792535850613
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.63,1.728109442151599,2.3727621035409343
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.75,1.749199854809259,2.3979157616563596
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.48,1.7011051009599243,2.340939982143925
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.09,1.8066480817218056,2.467792535850613
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.44,1.6937790608678513,2.3323807579381204
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.56,1.8809906029559975,2.5612496949731396
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.7,1.9021075263969205,2.588435821108957
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.87,1.927164106234258,2.6210684844162313
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.95,1.3737155789130306,1.9874606914351791
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.51,1.506297153514587,2.12367605815953
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.23,1.6544112780768316,2.2869193252058544
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.98,1.6054298910365616,2.23159136044214
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.98,1.6054298910365616,2.23159136044214
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.75,1.749199854809259,2.3979157616563596
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.54,1.7119945007591924,2.353720459187964
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.12,1.6331544390514163,2.262741699796952
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.75,1.749199854809259,2.3979157616563596
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.98,1.7884205679625405,2.445403852127497
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.94,1.7817091333745536,2.4372115213907883
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.94,1.7817091333745536,2.4372115213907883
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.62,1.7263316639055997,2.3706539182259396
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.39,1.47932922708708,2.0952326839756963
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.02,1.7950872593207297,2.453568829277059
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.58,1.7191887763932197,2.3622023622035435
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6,1.791759469228055,2.449489742783178
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.35,1.8484548129046001,2.5199206336708304
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.34,1.6752256529721035,2.3108440016582685
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.83,2.057962510002712,2.7982137159266447
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.39,1.8547342683894434,2.5278449319529077
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.26,1.9823798288367047,2.694438717061496
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.09,1.8066480817218056,2.467792535850613
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,8.13,2.0955609235597192,2.8513154858766505
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.28,1.8373699804801074,2.5059928172283334
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.15,1.9671123567059163,2.6739483914241875
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.23,1.8293763327993617,2.495996794869737
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.93,1.9358598132018119,2.6324893162176366
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.23,1.9782390361706734,2.6888659319497505
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.32,1.6714733033535532,2.3065125189341593
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.41,1.8578592709325787,2.5317977802344327
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.89,1.7732559976634952,2.4269322199023193
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.28,1.9851308622085946,2.6981475126464085
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.97,1.7867469274045107,2.4433583445741234
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.34,1.8468787684491346,2.5179356624028344
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.64,2.033397603178429,2.7640549922170505
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.04,1.7984040119467235,2.4576411454889016
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.09,1.958685340544036,2.6627053911388696
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.16,1.6409365794934714,2.2715633383201093
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.5,1.8718021769015913,2.5495097567963922
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.81,1.7595805708638197,2.41039415863879
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.06,1.9544450515051506,2.6570660511172846
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.25,1.9810014688665833,2.692582403567252
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.66,1.8961194845522977,2.5806975801127883
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.18,1.430311246536665,2.0445048300260873
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.68,1.5432981099295553,2.1633307652783933
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,9.53,2.254444717666111,3.087069808086626
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,9.61,2.262804222982201,3.1
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,8,2.0794415416798357,2.8284271247461903
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.07,1.9558604799084813,2.658947160061666
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,6.66,1.8961194845522977,2.5806975801127883
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.39,1.6845453849209058,2.32163735324878
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.15,1.9671123567059163,2.6739483914241875
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,4.19,1.4327007339340465,2.046948949045872
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.81,2.0554049638515948,2.794637722496424
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7,1.9459101490553132,2.6457513110645907
